ACSSF,2011e5,al,000,0064,0004634,984,497,35,8,15,8,8,0,8,33,0,17,24,46,14,65,27,29,49,46,38,27,487,42,13,9,7,5,13,70,14,21,0,93,33,36,42,16,13,12,19,10,19,32227,43194,26934,38418100,22854300,20043900,2810400,15563800,12104100,3459700,34063,19018,33250,30305,43403,53854,43639,24338,44808,31845,57000,54886,27441,2499,26597,27813,42847,52981,1398,674,358,0,358,0,8,0,8,0,0,0,14,0,17,14,25,14,57,23,29,38,46,38,27,316,177,139,35,0,15,0,8,0,8,19,0,0,10,21,0,8,4,0,11,0,0,0,724,316,0,316,0,0,0,0,5,0,61,0,13,0,67,33,25,42,16,13,12,0,10,19,408,237,171,42,13,9,7,0,13,9,14,8,0,26,0,11,0,0,0,0,19,0,0
ACSSF,2011e5,al,000,0064,0004635,1088,537,21,28,9,17,42,21,18,39,24,4,34,19,9,38,24,47,52,32,42,17,551,41,57,24,28,87,51,7,0,0,19,61,38,53,26,29,6,0,0,14,10,25427,31513,14387,33914600,20931400,18011900,2919500,12983200,9276500,3706700,31818,16000,30144,36797,38352,41086,41842,16333,31979,52708,29922,41711,26859,14722,23906,25461,38466,28681,1680,747,336,0,336,0,0,4,0,12,0,5,14,6,4,32,12,9,38,10,47,52,32,42,17,411,210,201,21,28,5,17,30,21,13,25,18,0,2,7,0,0,14,0,0,0,0,0,933,294,0,294,0,0,0,0,38,51,7,0,0,3,52,38,30,26,29,6,0,0,14,0,639,382,257,41,57,24,28,49,0,0,0,0,16,9,0,23,0,0,0,0,0,0,10
ACSSF,2011e5,al,000,0064,0004636,1653,954,49,90,66,12,25,27,10,11,37,11,50,125,70,84,28,56,68,28,62,45,699,46,50,62,56,81,25,9,22,21,47,93,77,7,27,7,5,0,21,34,9,27517,32318,19830,53202300,36433700,32058600,4375100,16768600,13186100,3582500,31027,17813,30748,26575,44340,88015,38214,39306,31936,37663,78438,89485,24229,6488,23967,22500,29402,41923,2515,1150,674,0,674,0,0,10,12,14,0,10,11,37,11,50,91,67,84,28,56,68,28,62,35,476,196,280,49,90,56,0,11,27,0,0,0,0,0,34,3,0,0,0,0,0,0,10,1365,363,0,363,0,0,0,0,28,9,9,22,21,47,70,54,7,27,0,5,0,21,34,9,1002,666,336,46,50,62,56,53,16,0,0,0,0,23,23,0,0,7,0,0,0,0,0
ACSSF,2011e5,al,000,0064,0004637,2244,1179,47,41,38,38,66,15,33,26,23,24,85,57,66,73,67,94,108,94,126,58,1065,102,46,75,37,43,41,29,55,67,56,103,100,69,52,38,57,30,27,30,8,31026,41694,24174,82143200,53042800,47669600,5373100,29100500,24375800,4724700,36291,29750,33110,30821,46034,49250,46820,30357,39219,43889,52105,71750,27143,20625,24650,24107,35921,29583,3518,1665,828,0,828,0,0,3,5,7,15,22,4,23,6,51,48,37,70,67,89,108,89,126,58,837,486,351,47,41,35,33,59,0,11,22,0,18,34,9,29,3,0,5,0,5,0,0,1853,634,0,634,0,4,0,7,20,7,7,37,40,48,77,90,62,52,38,50,30,27,30,8,1219,788,431,102,42,75,30,23,34,22,18,27,8,26,10,7,0,0,7,0,0,0,0
ACSSF,2011e5,al,000,0064,0004638,5481,2943,162,101,113,11,83,96,12,93,48,96,160,140,39,56,237,143,336,316,325,376,2538,142,166,45,82,47,68,107,113,125,67,261,272,185,224,175,79,120,83,132,45,37105,50914,30728,242693000,157967000,144569400,13397600,84726000,71017700,13708300,45550,26161,30583,40811,62165,56226,60189,26473,38750,50043,71082,68477,34616,23906,24412,33547,42188,48776,7583,3630,2162,0,2162,0,7,0,0,32,28,12,83,48,45,79,86,39,42,212,120,336,307,322,364,1468,687,781,162,94,113,11,51,68,0,10,0,51,81,54,0,14,25,23,0,9,3,12,3953,1666,0,1666,0,0,0,14,11,21,43,60,97,67,214,221,140,198,162,38,120,83,132,45,2287,1415,872,142,166,45,68,36,47,64,53,28,0,47,51,45,26,13,41,0,0,0,0
ACSSF,2011e5,al,000,0064,0004639,1670,786,44,10,12,40,9,23,0,39,25,61,32,101,93,15,84,19,44,9,38,88,884,149,93,32,0,48,66,35,0,13,25,78,78,10,51,39,40,50,30,26,21,30024,34826,23100,62163400,37737700,34976300,2761400,24425700,17839000,6586600,33682,31042,31450,27893,52500,52031,36467,40417,33102,33906,49516,96678,29679,22250,20781,25990,56250,49375,2517,1105,615,0,615,0,0,0,0,0,7,0,39,25,61,32,101,93,6,53,19,44,9,38,88,490,319,171,44,10,12,40,9,16,0,0,0,0,0,0,0,9,31,0,0,0,0,0,1412,440,0,440,0,0,0,0,14,66,26,0,13,16,54,45,10,16,39,40,31,30,26,14,972,528,444,149,93,32,0,34,0,9,0,0,9,24,33,0,35,0,0,19,0,0,7
ACSSF,2011e5,al,000,0064,0004640,1383,732,39,28,15,100,31,0,0,28,29,16,118,41,55,72,0,0,72,19,69,0,651,19,56,42,10,12,63,48,48,50,16,111,59,0,55,0,0,0,16,46,0,25720,28662,21375,40946000,23799200,20140600,3658500,17146900,14354500,2792300,27272,27578,26116,28200,56563,41250,30938,28073,35257,33214,60417,.,23281,21979,20625,23333,31058,41250,2136,980,469,0,469,0,0,0,0,23,0,0,11,18,10,118,41,43,53,0,0,64,19,69,0,511,248,263,39,28,15,100,8,0,0,17,11,6,0,0,12,19,0,0,8,0,0,0,1156,404,0,404,0,0,9,0,5,12,11,48,36,7,111,59,0,44,0,0,0,16,46,0,752,505,247,19,56,33,10,7,51,37,0,14,9,0,0,0,11,0,0,0,0,0,0
ACSSF,2011e5,al,000,0064,0004641,1709,792,46,24,0,23,0,0,0,0,7,0,54,69,29,58,44,66,73,61,95,143,917,81,52,34,67,43,113,0,10,27,37,42,45,62,44,36,17,26,122,35,24,38807,53947,24628,82132300,51884400,45540200,6344200,30247900,26693000,3554800,47933,4797,31875,41360,73661,67653,60264,.,48393,46528,101319,69018,34306,4088,21157,37105,44808,34694,2370,1107,620,0,620,0,0,0,0,0,0,0,0,0,0,40,69,29,58,44,50,73,61,75,121,487,315,172,46,24,0,23,0,0,0,0,7,0,14,0,0,0,0,16,0,0,20,22,1263,552,0,552,0,0,18,11,0,40,0,10,0,37,42,45,62,27,36,17,26,122,35,24,711,346,365,81,52,16,56,43,73,0,0,27,0,0,0,0,17,0,0,0,0,0,0
ACSSF,2011e5,al,000,0064,0004642,5355,2909,110,74,78,102,71,93,21,54,72,66,185,140,146,165,93,179,346,297,437,180,2446,347,305,45,30,116,179,133,62,131,70,210,127,200,154,79,82,110,31,18,17,33007,49139,20115,213577100,155948800,143678000,12270800,57628400,44218500,13409800,38133,32580,32513,36483,55385,77340,51875,34787,39596,56958,64412,81250,25688,16493,20140,28581,37386,42273,7797,3819,2235,0,2235,0,16,0,0,32,50,21,39,7,66,168,97,131,165,78,158,328,284,415,180,1584,910,674,110,58,78,102,39,43,0,15,65,0,17,43,15,0,15,21,18,13,22,0,3978,1244,0,1244,0,0,8,0,41,69,72,19,95,70,165,111,157,143,79,82,79,31,6,17,2734,1532,1202,347,305,37,30,75,110,61,43,36,0,45,16,43,11,0,0,31,0,12,0
ACSSF,2011e5,al,000,0064,0004643,2889,1586,114,38,14,47,30,45,21,0,74,18,193,348,96,89,113,69,72,105,87,13,1303,140,129,76,43,47,0,73,25,49,89,156,49,39,69,62,98,37,32,70,20,30182,31758,24452,95213200,57621000,50428500,7192500,37592100,31552400,6039700,31313,16222,28820,31719,52760,41367,33231,30213,30379,39948,63125,51484,26338,12500,20673,24750,52241,40625,4324,2111,1157,0,1157,0,0,0,32,15,13,9,0,74,0,121,288,65,81,113,69,72,105,87,13,954,525,429,114,38,14,15,15,32,12,0,0,18,72,60,31,8,0,0,0,0,0,0,2213,762,0,762,0,0,21,22,14,0,56,9,36,77,102,40,24,42,62,98,37,32,70,20,1451,910,541,140,129,55,21,33,0,17,16,13,12,54,9,15,27,0,0,0,0,0,0
